161|N326059405|47.1430098|9.5185573|Quäderle
29|N326059436|47.1441787|9.5195660|Torkel
65|N333223250|47.0607725|9.6070544|Naafkopf
29|N336434254|47.1408306|9.5202626|Lett
29|N336434357|47.1427372|9.5187954|Löwen
83|N336434712|47.1473233|9.5127468|Maxi
161|N336435029|47.1449796|9.5151861|Hofkellerei
161|N336435040|47.1405327|9.5196523|Vaduz, Lettstrasse
67|N347290636|47.1027934|9.6083946|Malbun
158|N354435079|47.2155595|9.5507269|Vogelparadies Birka
50|N364429955|47.0608243|9.4900607|Mariahilfkapelle
161|N364429961|47.0620991|9.4949328|Brückle
161|N364429963|47.0620439|9.4947910|Brückle
83|N364429964|47.0618782|9.4952503|Maxi
9|N364430233|47.0790441|9.5125855|Feuerwehr Balzers
161|N757459272|47.1814388|9.5241176|Schaan Forst/Hilti AG
161|N761534684|47.1126376|9.5431514|Triesenberg Täscherloch
161|N761534685|47.1182584|9.5431819|Triesenberg Post
149|N761534749|47.1184826|9.5428822|Walsermuseum
105|N761534771|47.1183519|9.5432305|Denner
29|N761534815|47.1185785|9.5439403|Edelweiss
161|N819157068|47.2273829|9.5391376|Tannwald
9|N819170891|47.2326173|9.5463651|FFW
149|N819175348|47.2328175|9.5478629|Biedermannhaus
29|N819181353|47.2313728|9.5468403|Krone
29|N819181573|47.2296170|9.5469369|Kreuz
29|N819233334|47.2416829|9.5611280|Löwen
65|N890267077|47.0781382|9.6186837|Gorfion
65|N890268617|47.0692611|9.5341049|Mittagspitze
65|N890269809|47.1146930|9.6246738|Ochsenkopf
6|N929809055|47.1328150|9.5207300|Landhaus am Giessen
139|N935278222|47.1377070|9.5226559|Landtag
67|N935278226|47.1275781|9.5387175|Rotenboden
25|N960563008|47.1194177|9.5439787|Café Guflina
161|N984720601|47.1703726|9.5171118|Planknerstrasse/Kresta
161|N984720614|47.1089471|9.5990498|Schneeflucht
161|N984720654|47.2413514|9.5607521|Hinterschellenberg
161|N984720670|47.2112474|9.5066556|Bendern Widagass
161|N984720729|47.1835207|9.5430593|Abzw. Egerta
161|N984720777|47.2148878|9.5056173|Gamprin Haldenstrasse
161|N984720781|47.1649598|9.5087640|Schaan Zentrum
161|N984720841|47.2075957|9.5021132|Bendern Under Atzig
161|N984720874|47.2093916|9.5192740|Eschen Haldengass
161|N984720896|47.2047999|9.5472842|Nendeln Kohlmahd
161|N984720973|47.1803032|9.5072516|Schaan Rosengarten
161|N984721274|47.2204327|9.5429455|Mauren Kirche
162|N984721479|47.1254835|9.5203903|Vaduz, Gastankstelle
161|N984721496|47.1663830|9.5188870|Schaan, St. Elisabeth
161|N984721502|47.1666610|9.5169450|Schaan, Realschule
161|N984721591|47.1576945|9.5096362|Schaan Quader
161|N984721593|47.1031448|9.6075287|Jöraboda
161|N984721653|47.1681682|9.5120176|Theater
161|N984721690|47.1734090|9.5341807|Schaan, Fürstenweg
161|N984721715|47.1135861|9.5495831|Steinort
161|N984721724|47.2233126|9.5207594|Gamprin Michel-Oehri
161|N984721747|47.1168794|9.5467201|Obergufer
161|N984721761|47.1170574|9.5493923|Guferwald
161|N984721900|47.1290433|9.5399524|Almeina
161|N984721969|47.2143674|9.5353163|Mauren Fallsgass
161|N984721973|47.2180254|9.5103816|Gemeindehaus
161|N984721993|47.1978680|9.5016393|Bendern Pinocchio
161|N984722014|47.1755466|9.5084721|Schaan Bendernstraße/Hilcona
161|N984722028|47.1856781|9.5457090|Schulhaus
161|N984722069|47.1821581|9.5415315|Planken, Vorderplanken
161|N984722074|47.1709326|9.5224033|Kinderheim
161|N984722079|47.1678636|9.5148886|Duxgass/Kresta
161|N984722102|47.2242943|9.5444883|Mauren Auf Berg
161|N984722120|47.2223291|9.5476341|Krummenacker
161|N984722140|47.2289630|9.5383694|Widum
161|N984722157|47.2283778|9.5356090|Schellenberg Loch
161|N984722182|47.2416072|9.5284676|Ruggell Kirche
161|N984722193|47.2384878|9.5267125|Sennerei
161|N984722211|47.2354206|9.5259864|Oberweiler
161|N984722223|47.2361355|9.5209110|Ruggell Kreuzstrasse
161|N984722249|47.1313942|9.5223469|Au
161|N984722255|47.2209023|9.5146749|Bühl
161|N984722270|47.2096003|9.5136254|Eschen Brühl
161|N984722273|47.2286374|9.5481946|Schellenberg Egerta
161|N984722295|47.2222821|9.5179875|Waldeck
161|N984722304|47.1163853|9.5309692|Matschils
161|N984722320|47.1137487|9.5446166|Rütelti
161|N984722344|47.1266518|9.5257039|Schwefel
161|N984722377|47.1217835|9.5289109|Triesen, Meierhof
161|N984722382|47.1348392|9.5453174|Masescha Abzw. Silum
161|N984722398|47.1391460|9.5440970|Gaflei Matu
161|N984722638|47.1119924|9.5316987|Triesen, Vaschiel
161|N984722721|47.2114857|9.5621815|Schaanwald Zuschg
161|N984722742|47.2319762|9.5466633|Schellenberg Post
